"filename", "language", "PHP", "JSON", "PostCSS", "Markdown", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\projeto-controle-php\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 20, 58
"c:\xampp\htdocs\projeto-controle-php\api\get_meses_pagamentos.php", "PHP", 8, 0, 0, 0, 0, 0, 4, 12
"c:\xampp\htdocs\projeto-controle-php\api\get_pagamentos_subsetor.php", "PHP", 15, 0, 0, 0, 0, 2, 8, 25
"c:\xampp\htdocs\projeto-controle-php\api\get_resumo_mes.php", "PHP", 13, 0, 0, 0, 0, 0, 8, 21
"c:\xampp\htdocs\projeto-controle-php\api\get_setores.php", "PHP", 9, 0, 0, 0, 0, 0, 7, 16
"c:\xampp\htdocs\projeto-controle-php\api\get_subsetores.php", "PHP", 14, 0, 0, 0, 0, 1, 10, 25
"c:\xampp\htdocs\projeto-controle-php\api\inserir_pagamento.php", "PHP", 44, 0, 0, 0, 0, 5, 10, 59
"c:\xampp\htdocs\projeto-controle-php\api\login_usuario.php", "PHP", 17, 0, 0, 0, 0, 0, 14, 31
"c:\xampp\htdocs\projeto-controle-php\assets\css\global.css", "PostCSS", 0, 0, 237, 0, 0, 4, 34, 275
"c:\xampp\htdocs\projeto-controle-php\assets\css\login.css", "PostCSS", 0, 0, 21, 0, 0, 0, 2, 23
"c:\xampp\htdocs\projeto-controle-php\composer.json", "JSON", 0, 5, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\projeto-controle-php\composer.lock", "JSON", 0, 1739, 0, 0, 0, 0, 1, 1740
"c:\xampp\htdocs\projeto-controle-php\middleware\verifica_admin.php", "PHP", 7, 0, 0, 0, 0, 0, 8, 15
"c:\xampp\htdocs\projeto-controle-php\models\pagamentos.php", "PHP", 121, 0, 0, 0, 0, 6, 40, 167
"c:\xampp\htdocs\projeto-controle-php\models\setores.php", "PHP", 15, 0, 0, 0, 0, 0, 12, 27
"c:\xampp\htdocs\projeto-controle-php\models\subsetores.php", "PHP", 21, 0, 0, 0, 0, 0, 10, 31
"c:\xampp\htdocs\projeto-controle-php\models\usuarios.php", "PHP", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\projeto-controle-php\swagger.yaml", "YAML", 0, 0, 0, 0, 11, 1, 5, 17
"c:\xampp\htdocs\projeto-controle-php\views\admin\dashboard.php", "PHP", 18, 0, 0, 0, 0, 0, 7, 25
"c:\xampp\htdocs\projeto-controle-php\views\admin\inserir_pag.php", "PHP", 86, 0, 0, 0, 0, 2, 18, 106
"c:\xampp\htdocs\projeto-controle-php\views\admin\login.php", "PHP", 40, 0, 0, 0, 0, 0, 4, 44
"c:\xampp\htdocs\projeto-controle-php\views\public\acoes_usuario.php", "PHP", 52, 0, 0, 0, 0, 1, 13, 66
"c:\xampp\htdocs\projeto-controle-php\views\public\index.php", "PHP", 23, 0, 0, 0, 0, 1, 14, 38
"c:\xampp\htdocs\projeto-controle-php\views\public\ver_despesas.php", "PHP", 49, 0, 0, 0, 0, 1, 14, 64
"c:\xampp\htdocs\projeto-controle-php\views\public\ver_subsetor.php", "PHP", 133, 0, 0, 0, 0, 1, 20, 154
"c:\xampp\htdocs\projeto-controle-php\views\templates\footer.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\projeto-controle-php\views\templates\header.php", "PHP", 52, 0, 0, 0, 0, 0, 4, 56
"Total", "-", 748, 1744, 258, 38, 11, 25, 292, 3116
